issue_date,pet_name,species,breed
2015-12-18,Zen,Cat,Domestic Longhair
2016-06-14,Misty,Cat,Siberian
2016-08-04,Lyra,Cat,Mix
2019-02-13,Veronica,Cat,Domestic Longhair
2019-08-10,Spider,Cat,LaPerm
2019-11-21,Maxx,Cat,American Shorthair
2020-05-24,Mickey,Cat,Domestic Longhair
2020-07-03,Diamond,Cat,Domestic Shorthair
2020-07-21,Nacho,Cat,Domestic Shorthair
2020-08-18,Gracie,Cat,Domestic Medium Hair
2020-09-08,Ramon,Cat,Domestic Shorthair
2020-11-03,Pixel,Cat,Domestic Medium Hair
2020-11-17,C.C.,Cat,Domestic Shorthair
2020-11-20,Gemma,Cat,Siamese
2020-11-24,Oliver,Cat,Domestic Longhair
2020-12-15,Silky Frances,Cat,Domestic Shorthair
2020-12-20,Jesse,Cat,Domestic Shorthair
2020-12-23,Lucy,Cat,Domestic Shorthair
2021-01-27,Bones,Cat,Mix
2021-02-03,Emme,Cat,Domestic Shorthair
2021-02-16,Coal,Cat,Domestic Shorthair
2021-04-07,Rudy,Cat,Domestic Shorthair
2021-04-09,Custo,Cat,Domestic Shorthair
2021-04-10,Honey,Cat,Domestic Medium Hair
2021-04-26,Boots,Cat,Domestic Shorthair
2021-04-28,Cece,Cat,American Shorthair
2021-05-02,Noir,Cat,Mix
2021-05-07,Taffy,Cat,Siamese
2021-05-28,Seamus,Cat,Domestic Shorthair
2021-06-17,Guinness,Cat,Domestic Shorthair
2021-06-21,Ebi,Cat,Domestic Medium Hair
2021-06-21,Toro,Cat,Domestic Shorthair
2021-07-19,Pippin,Cat,Persian
2021-07-23,Milo,Cat,LaPerm
2021-07-23,Luna Lovegood,Cat,Domestic Longhair
2021-08-03,Eugene,Cat,Domestic Shorthair
2021-08-12,Casper,Cat,Domestic Shorthair
2021-08-19,Mouse,Cat,Domestic Shorthair
2021-08-31,Olly,Cat,Domestic Shorthair
2021-09-10,Oatey or odin,Cat,Maine Coon
2021-09-21,Koa,Cat,Burmese
2021-09-25,Theodore,Cat,Domestic Shorthair
2021-10-21,Brie,Cat,American Shorthair
2021-10-21,Cody,Cat,American Shorthair
2021-10-21,Gatsby,Cat,American Shorthair
2021-10-25,Binu,Cat,Domestic Shorthair
2021-10-28,Mudflap,Cat,Domestic Longhair
2021-10-29,Ricky,Cat,Norwegian Forest
2021-10-31,Roushe,Cat,Domestic Shorthair
2021-11-06,"Katie ""Kitty""",Cat,Domestic Shorthair
2021-11-10,Tom,Cat,Domestic Shorthair
2021-11-11,Jóna,Cat,Domestic Shorthair
2021-11-15,Precious,Cat,Persian
2021-11-26,Louie,Cat,Domestic Shorthair
2021-11-26,Lyra,Cat,Domestic Shorthair
2021-12-06,Zora,Cat,Ragdoll
2021-12-13,Catfish,Cat,Domestic Shorthair
2021-12-15,Snowcap,Cat,Domestic Shorthair
2021-12-18,Yuki,Cat,Domestic Shorthair
2022-01-12,Edgar,Cat,Domestic Medium Hair
2022-02-03,Buddy Guy,Cat,Domestic Medium Hair
2022-02-10,Edgar,Cat,Domestic Shorthair
2022-02-10,Emily,Cat,Domestic Shorthair
2022-03-06,Turnip Smith,Cat,Maine Coon
2022-03-11,Mink,Cat,Domestic Longhair
2022-03-19,Taro,Cat,Domestic Shorthair
2022-03-31,Wilbur,Cat,Domestic Longhair
2022-03-31,Mimi,Cat,Domestic Shorthair
2022-04-01,Bagel,Cat,Domestic Shorthair
2022-04-01,Astral,Cat,Domestic Shorthair
2022-04-02,Simon,Cat,Domestic Shorthair
2022-04-02,Charlie,Cat,Domestic Shorthair
2022-04-02,Kage,Cat,Domestic Medium Hair
2022-04-02,Mighty Cat,Cat,Siamese
2022-04-02,Fanny,Cat,Domestic Shorthair
2022-04-03,Jack,Cat,Domestic Shorthair
2022-04-03,Jiji,Cat,Domestic Shorthair
2022-04-03,Lula,Cat,Domestic Shorthair
2022-04-03,Myshka,Cat,Domestic Shorthair
2022-04-03,Mina,Cat,Domestic Shorthair
2022-04-03,Megumi,Cat,Domestic Shorthair
2022-04-03,Alyeska,Cat,American Shorthair
2022-04-03,Porkbelly,Cat,Domestic Medium Hair
2022-04-04,Barry,Cat,Domestic Longhair
2022-04-04,Lulu,Cat,Domestic Shorthair
2022-04-04,Shibumi,Cat,Domestic Shorthair
2022-04-04,Abby,Cat,American Shorthair
2022-04-04,Carla Hernandez-Singh,Cat,Domestic Medium Hair
2022-04-04,Turk Hernandez-Singh,Cat,Domestic Shorthair
2022-04-04,Wally,Cat,Domestic Shorthair
2022-04-04,Jiji,Cat,Domestic Shorthair
2022-04-04,Timmy,Cat,Domestic Shorthair
2022-04-04,Alastair Henry,Cat,Domestic Shorthair
2022-04-04,Bumpas,Cat,Domestic Medium Hair
2022-04-05,Winky,Cat,Domestic Longhair
2022-04-05,Estelle,Cat,Snowshoe
